,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,std,median
0,1001,1,1,Agliè,Torino,Piemonte,2621,TO,0.1030286965163883,0.7858649790287018
1,1002,1,1,Airasca,Torino,Piemonte,3598,TO,0.014797569925586326,0.8165878653526306
2,1003,1,1,Ala di Stura,Torino,Piemonte,441,TO,0.054571785872639944,0.2523476779460907
3,1004,1,1,Albiano d'Ivrea,Torino,Piemonte,1644,TO,0.029187481554473482,0.7955997288227081
4,1006,1,1,Almese,Torino,Piemonte,6426,TO,0.09517092724445955,0.6019073128700256
5,1007,1,1,Alpette,Torino,Piemonte,248,TO,0.019990166459733585,0.4122125804424286
6,1008,1,1,Alpignano,Torino,Piemonte,16945,TO,0.027817836131834476,0.8206115663051605
7,1009,1,1,Andezeno,Torino,Piemonte,2041,TO,0.008353949207798172,0.8112557828426361
8,1010,1,1,Andrate,Torino,Piemonte,492,TO,0.09650572474221364,0.5550476610660553
9,1011,1,1,Angrogna,Torino,Piemonte,846,TO,0.14470344398528542,0.28288401663303375
10,1012,1,1,Arignano,Torino,Piemonte,1081,TO,0.017349666842427235,0.8056280612945557
11,1013,1,1,Avigliana,Torino,Piemonte,12611,TO,0.09266784740945558,0.6931542158126831
12,1014,1,1,Azeglio,Torino,Piemonte,1244,TO,0.1267790069478275,0.7644196152687073
13,1015,1,1,Bairo,Torino,Piemonte,797,TO,0.05041051871315783,0.8036699891090393
14,1016,1,1,Balangero,Torino,Piemonte,3153,TO,0.08190353421451095,0.7046817541122437
15,1017,1,1,Baldissero Canavese,Torino,Piemonte,531,TO,0.05440708021422475,0.6386630237102509
16,1018,1,1,Baldissero Torinese,Torino,Piemonte,3601,TO,0.10324529105326792,0.6911188066005707
17,1019,1,1,Balme,Torino,Piemonte,114,TO,0.07451392050049763,0.15892811119556427
18,1020,1,1,Banchette,Torino,Piemonte,3191,TO,0.016826659440994263,0.823092132806778
19,1021,1,1,Barbania,Torino,Piemonte,1567,TO,0.046765624371207716,0.6977837681770325
20,1022,1,1,Bardonecchia,Torino,Piemonte,3148,TO,0.08299893482375989,0.30892011523246765
21,1023,1,1,Barone Canavese,Torino,Piemonte,578,TO,0.059999784199404146,0.7467359900474548
22,1024,1,1,Beinasco,Torino,Piemonte,17785,TO,0.06596440211520617,0.8782088458538055
23,1025,1,1,Bibiana,Torino,Piemonte,3470,TO,0.14936292302608073,0.7594186067581177
24,1026,1,1,Bobbio Pellice,Torino,Piemonte,547,TO,0.051667268275797054,0.1599087119102478
25,1027,1,1,Bollengo,Torino,Piemonte,2131,TO,0.08081695509487209,0.7873916923999786
26,1028,1,1,Borgaro Torinese,Torino,Piemonte,11907,TO,0.020964444567174632,0.8571102619171143
27,1029,1,1,Borgiallo,Torino,Piemonte,588,TO,0.10188371527372299,0.5599458813667297
28,1030,1,1,Borgofranco d'Ivrea,Torino,Piemonte,3596,TO,0.07655313669301972,0.7518946528434753
29,1031,1,1,Borgomasino,Torino,Piemonte,790,TO,0.12158044071518745,0.7233348488807678
30,1032,1,1,Borgone Susa,Torino,Piemonte,2197,TO,0.03757026179738284,0.7268880605697632
31,1033,1,1,Bosconero,Torino,Piemonte,3095,TO,0.08122039718383915,0.7628604769706726
32,1034,1,1,Brandizzo,Torino,Piemonte,8638,TO,0.02261796200808876,0.8578632175922394
