,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,std,median
0,1001,1,1,Agliè,Torino,Piemonte,2621,TO,4.429013994288827,1438.7197265625
1,1002,1,1,Airasca,Torino,Piemonte,3598,TO,1.5691842953708104,1460.634765625
2,1003,1,1,Ala di Stura,Torino,Piemonte,441,TO,126.36480858624492,1255.7294921875
3,1004,1,1,Albiano d'Ivrea,Torino,Piemonte,1644,TO,2.163511083709215,1435.4324951171875
4,1006,1,1,Almese,Torino,Piemonte,6426,TO,21.18938402805285,1432.510498046875
5,1007,1,1,Alpette,Torino,Piemonte,248,TO,119.39142462781722,1150.3548583984375
6,1008,1,1,Alpignano,Torino,Piemonte,16945,TO,1.8362651207978435,1449.12939453125
7,1009,1,1,Andezeno,Torino,Piemonte,2041,TO,1.7651060169118256,1419.5441284179688
8,1010,1,1,Andrate,Torino,Piemonte,492,TO,12.943202613400972,1414.4306030273438
9,1011,1,1,Angrogna,Torino,Piemonte,846,TO,106.75967817716217,1288.2366943359375
10,1012,1,1,Arignano,Torino,Piemonte,1081,TO,2.5762813466529195,1418.6309814453125
11,1013,1,1,Avigliana,Torino,Piemonte,12611,TO,23.318915900223676,1421.187744140625
12,1014,1,1,Azeglio,Torino,Piemonte,1244,TO,7.89738932353352,1430.1363525390625
13,1015,1,1,Bairo,Torino,Piemonte,797,TO,4.999425039278794,1432.1452026367188
14,1016,1,1,Balangero,Torino,Piemonte,3153,TO,18.376433322452748,1402.92529296875
15,1017,1,1,Baldissero Canavese,Torino,Piemonte,531,TO,7.680716500315544,1409.864990234375
16,1018,1,1,Baldissero Torinese,Torino,Piemonte,3601,TO,20.776638104035385,1406.9430541992188
17,1019,1,1,Balme,Torino,Piemonte,114,TO,157.7282882874174,1324.3965454101562
18,1020,1,1,Banchette,Torino,Piemonte,3191,TO,4.466750394869105,1413.1522216796875
19,1021,1,1,Barbania,Torino,Piemonte,1567,TO,5.001758193582418,1423.9271240234375
20,1022,1,1,Bardonecchia,Torino,Piemonte,3148,TO,89.04027173299332,1480.3582763671875
21,1023,1,1,Barone Canavese,Torino,Piemonte,578,TO,1.7601214375049015,1444.198486328125
22,1024,1,1,Beinasco,Torino,Piemonte,17785,TO,2.5577993357942397,1436.5282592773438
23,1025,1,1,Bibiana,Torino,Piemonte,3470,TO,69.98351860019763,1353.6165161132812
24,1026,1,1,Bobbio Pellice,Torino,Piemonte,547,TO,132.72856997256457,1312.89111328125
25,1027,1,1,Bollengo,Torino,Piemonte,2131,TO,8.19827818810394,1423.3792724609375
26,1028,1,1,Borgaro Torinese,Torino,Piemonte,11907,TO,4.171031564078764,1435.0672607421875
27,1029,1,1,Borgiallo,Torino,Piemonte,588,TO,13.423018402681526,1378.4534912109375
28,1030,1,1,Borgofranco d'Ivrea,Torino,Piemonte,3596,TO,37.08529813812827,1365.6697998046875
29,1031,1,1,Borgomasino,Torino,Piemonte,790,TO,1.4280914583378321,1437.2587890625
30,1032,1,1,Borgone Susa,Torino,Piemonte,2197,TO,14.270488153265086,1389.2283935546875
31,1033,1,1,Bosconero,Torino,Piemonte,3095,TO,3.0364839748370276,1448.2161865234375
32,1034,1,1,Brandizzo,Torino,Piemonte,8638,TO,3.6605259946936517,1426.8491821289062
33,1035,1,1,Bricherasio,Torino,Piemonte,4593,TO,20.25675343647065,1409.499755859375
34,1036,1,1,Brosso,Torino,Piemonte,401,TO,43.70255454607546,1353.9818115234375
35,1037,1,1,Brozolo,Torino,Piemonte,440,TO,8.212449288691746,1391.9677734375
36,1038,1,1,Bruino,Torino,Piemonte,8578,TO,12.997979153136416,1441.2764892578125
37,1039,1,1,Brusasco,Torino,Piemonte,1482,TO,7.464513279334284,1397.2638549804688
