cod_com,den_com,sigla,cod_prov,den_prov,cod_reg,den_reg,pop
1001,Agliè,TO,1,Torino,1,Piemonte,2621
1002,Airasca,TO,1,Torino,1,Piemonte,3598
1003,Ala di Stura,TO,1,Torino,1,Piemonte,441
1004,Albiano d'Ivrea,TO,1,Torino,1,Piemonte,1644
1006,Almese,TO,1,Torino,1,Piemonte,6426
1007,Alpette,TO,1,Torino,1,Piemonte,248
1008,Alpignano,TO,1,Torino,1,Piemonte,16945
1009,Andezeno,TO,1,Torino,1,Piemonte,2041
1010,Andrate,TO,1,Torino,1,Piemonte,492
1011,Angrogna,TO,1,Torino,1,Piemonte,846
1012,Arignano,TO,1,Torino,1,Piemonte,1081
1013,Avigliana,TO,1,Torino,1,Piemonte,12611
1014,Azeglio,TO,1,Torino,1,Piemonte,1244
1015,Bairo,TO,1,Torino,1,Piemonte,797
1016,Balangero,TO,1,Torino,1,Piemonte,3153
1017,Baldissero Canavese,TO,1,Torino,1,Piemonte,531
1018,Baldissero Torinese,TO,1,Torino,1,Piemonte,3601
1019,Balme,TO,1,Torino,1,Piemonte,114
1020,Banchette,TO,1,Torino,1,Piemonte,3191
1021,Barbania,TO,1,Torino,1,Piemonte,1567
1022,Bardonecchia,TO,1,Torino,1,Piemonte,3148
1023,Barone Canavese,TO,1,Torino,1,Piemonte,578
1024,Beinasco,TO,1,Torino,1,Piemonte,17785
1025,Bibiana,TO,1,Torino,1,Piemonte,3470
1026,Bobbio Pellice,TO,1,Torino,1,Piemonte,547
1027,Bollengo,TO,1,Torino,1,Piemonte,2131
1028,Borgaro Torinese,TO,1,Torino,1,Piemonte,11907
1029,Borgiallo,TO,1,Torino,1,Piemonte,588
1030,Borgofranco d'Ivrea,TO,1,Torino,1,Piemonte,3596
1031,Borgomasino,TO,1,Torino,1,Piemonte,790
1032,Borgone Susa,TO,1,Torino,1,Piemonte,2197
1033,Bosconero,TO,1,Torino,1,Piemonte,3095
1034,Brandizzo,TO,1,Torino,1,Piemonte,8638
1035,Bricherasio,TO,1,Torino,1,Piemonte,4593
1036,Brosso,TO,1,Torino,1,Piemonte,401
1037,Brozolo,TO,1,Torino,1,Piemonte,440
1038,Bruino,TO,1,Torino,1,Piemonte,8578
1039,Brusasco,TO,1,Torino,1,Piemonte,1482
1040,Bruzolo,TO,1,Torino,1,Piemonte,1510
1041,Buriasco,TO,1,Torino,1,Piemonte,1355
1042,Burolo,TO,1,Torino,1,Piemonte,1126
1043,Busano,TO,1,Torino,1,Piemonte,1623
1044,Bussoleno,TO,1,Torino,1,Piemonte,5806
1045,Buttigliera Alta,TO,1,Torino,1,Piemonte,6346
